match_id,match_date,year,round,venue,home_team,away_team,home_score,away_score,home_win,match_result,home_margin,is_draw,crowd,home_rest_days,home_win_streak_pre,home_win_rate_l3,home_avg_pf_l3,home_avg_pa_l3,home_avg_margin_l3,home_games_l3,home_win_rate_l5,home_avg_pf_l5,home_avg_pa_l5,home_avg_margin_l5,home_games_l5,home_win_rate_l8,home_avg_pf_l8,home_avg_pa_l8,home_avg_margin_l8,home_games_l8,home_ladder_points_pre,home_season_games_pre,home_ladder_pct_pre,away_rest_days,away_win_streak_pre,away_win_rate_l3,away_avg_pf_l3,away_avg_pa_l3,away_avg_margin_l3,away_games_l3,away_win_rate_l5,away_avg_pf_l5,away_avg_pa_l5,away_avg_margin_l5,away_games_l5,away_win_rate_l8,away_avg_pf_l8,away_avg_pa_l8,away_avg_margin_l8,away_games_l8,away_ladder_points_pre,away_season_games_pre,away_ladder_pct_pre,h2h_home_win_rate,h2h_games,rest_days_diff,ladder_pct_diff,form_margin_diff_l5,home_state,away_state,is_interstate,venue_code
19830326_CarltonBlues_RichmondTigers,1983-03-26,1983,1,Princes Park,Carlton Blues,Richmond Tigers,136,76,1,home_win,60,0,28498.0,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,0.5,0,,0.0,,VIC,VIC,0,24
19830326_FitzroyLions_HawthornHawks,1983-03-26,1983,1,Junction Oval,Fitzroy Lions,Hawthorn Hawks,112,131,0,away_win,-19,0,15626.0,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,0.5,0,,0.0,,VIC,VIC,0,14
19830326_GeelongCats_WesternBulldogs,1983-03-26,1983,1,Waverley Park,Geelong Cats,Western Bulldogs,106,75,1,home_win,31,0,18377.0,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,0.5,0,,0.0,,VIC,VIC,0,33
19830326_MelbourneDemons_CollingwoodMagpies,1983-03-26,1983,1,Melbourne Cricket Ground,Melbourne Demons,Collingwood Magpies,125,135,0,away_win,-10,0,72274.0,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,0.5,0,,0.0,,VIC,VIC,0,18
19830326_NorthMelbourneKangaroos_StKildaSaints,1983-03-26,1983,1,Aegis Park,North Melbourne Kangaroos,St Kilda Saints,100,87,1,home_win,13,0,18496.0,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,0.5,0,,0.0,,VIC,VIC,0,4
19830327_SydneySwans_EssendonBombers,1983-03-27,1983,1,Sydney Cricket Ground,Sydney Swans,Essendon Bombers,111,110,1,home_win,1,0,11916.0,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,,0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0,0.5,0.5,0,,0.0,,NSW,VIC,1,26
19830402_CollingwoodMagpies_GeelongCats,1983-04-02,1983,2,Victoria Park,Collingwood Magpies,Geelong Cats,96,101,0,away_win,-5,0,34751.0,7.0,1,1.0,135.0,125.0,10.0,1.0,1.0,135.0,125.0,10.0,1.0,1.0,135.0,125.0,10.0,1.0,4.0,1,1.0,7.0,1,1.0,106.0,75.0,31.0,1.0,1.0,106.0,75.0,31.0,1.0,1.0,106.0,75.0,31.0,1.0,4.0,1,1.0,0.5,0,0.0,0.0,-21.0,VIC,VIC,0,31
19830402_RichmondTigers_MelbourneDemons,1983-04-02,1983,2,Melbourne Cricket Ground,Richmond Tigers,Melbourne Demons,100,119,0,away_win,-19,0,41889.0,7.0,0,0.0,76.0,136.0,-60.0,1.0,0.0,76.0,136.0,-60.0,1.0,0.0,76.0,136.0,-60.0,1.0,0.0,1,0.0,7.0,0,0.0,125.0,135.0,-10.0,1.0,0.0,125.0,135.0,-10.0,1.0,0.0,125.0,135.0,-10.0,1.0,0.0,1,0.0,0.5,0,0.0,0.0,-50.0,VIC,VIC,0,18
19830402_WesternBulldogs_CarltonBlues,1983-04-02,1983,2,Western Oval,Western Bulldogs,Carlton Blues,99,82,1,home_win,17,0,20414.0,7.0,0,0.0,75.0,106.0,-31.0,1.0,0.0,75.0,106.0,-31.0,1.0,0.0,75.0,106.0,-31.0,1.0,0.0,1,0.0,7.0,1,1.0,136.0,76.0,60.0,1.0,1.0,136.0,76.0,60.0,1.0,1.0,136.0,76.0,60.0,1.0,4.0,1,1.0,0.5,0,0.0,-1.0,-91.0,VIC,VIC,0,34
19830404_EssendonBombers_StKildaSaints,1983-04-04,1983,2,Windy Hill,Essendon Bombers,St Kilda Saints,131,70,1,home_win,61,0,28071.0,8.0,0,0.0,110.0,111.0,-1.0,1.0,0.0,110.0,111.0,-1.0,1.0,0.0,110.0,111.0,-1.0,1.0,0.0,1,0.0,9.0,0,0.0,87.0,100.0,-13.0,1.0,0.0,87.0,100.0,-13.0,1.0,0.0,87.0,100.0,-13.0,1.0,0.0,1,0.0,0.5,0,-1.0,0.0,12.0,VIC,VIC,0,36
