feature,value,kind,abs_value
num__form_margin_diff_l5,0.27281031532910616,importance,0.27281031532910616
num__ladder_pct_diff,0.16322503770676125,importance,0.16322503770676125
num__home_avg_margin_l8,0.07995123704309769,importance,0.07995123704309769
num__away_avg_margin_l8,0.04999843891164148,importance,0.04999843891164148
num__away_season_games_pre,0.030598840060174836,importance,0.030598840060174836
num__away_avg_pa_l8,0.02656402563606361,importance,0.02656402563606361
num__is_interstate,0.024067797697993273,importance,0.024067797697993273
num__h2h_home_win_rate,0.021805153799247703,importance,0.021805153799247703
num__home_ladder_points_pre,0.019176596241841228,importance,0.019176596241841228
num__crowd,0.018765292874261073,importance,0.018765292874261073
num__away_avg_pa_l3,0.016678570050675193,importance,0.016678570050675193
num__home_avg_pa_l8,0.016411783963002677,importance,0.016411783963002677
num__home_avg_pa_l5,0.016198317641865755,importance,0.016198317641865755
num__away_avg_margin_l5,0.015880547147385633,importance,0.015880547147385633
num__away_avg_margin_l3,0.014418034532364433,importance,0.014418034532364433
num__home_avg_pf_l5,0.013294833778382394,importance,0.013294833778382394
num__away_avg_pf_l8,0.011543716037071987,importance,0.011543716037071987
num__home_avg_pa_l3,0.011493624958043276,importance,0.011493624958043276
cat__home_team_Geelong Cats,0.011361662866508674,importance,0.011361662866508674
num__home_avg_pf_l8,0.010764241643682742,importance,0.010764241643682742
num__away_avg_pa_l5,0.009996503780087844,importance,0.009996503780087844
cat__venue_Princes Park,0.009788276881322349,importance,0.009788276881322349
num__home_avg_pf_l3,0.00814802806197618,importance,0.00814802806197618
num__home_avg_margin_l3,0.008036906471942587,importance,0.008036906471942587
num__home_season_games_pre,0.00802872433312165,importance,0.00802872433312165
